defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid	contributor	source	comment
PSO:0000351	grape nematode damage	NCBITaxon:6231	NCBITaxon:29760	PO:0025025			PSO:cooperl	APSNET:Grape	
PSO:0000352	grape citrus nematode damage	NCBITaxon:313693	NCBITaxon:29760	PO:0025025			PSO:cooperl	APSNET:Grape	
PSO:0000353	grape dagger nematode damage	NCBITaxon:46002	NCBITaxon:29760	PO:0025025			PSO:cooperl	APSNET:Grape	
PSO:0000354	grape needle nematode damage	NCBITaxon:70230	NCBITaxon:29760	PO:0025025			PSO:cooperl	APSNET:Grape	
PSO:0000355	grape ring nematode damage	NCBITaxon:211171	NCBITaxon:29760	PO:0025025			PSO:cooperl	APSNET:Grape	
PSO:0000356	grape root-knot nematode damage	NCBITaxon:189290	NCBITaxon:29760	PO:0025025			PSO:cooperl	APSNET:Grape	
PSO:0000357	grape root-lesion nematode damage	NCBITaxon:45927	NCBITaxon:29760	PO:0025025			PSO:cooperl	APSNET:Grape	
PSO:0000358	grape insect damage	NCBITaxon:50557	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000359	grape arachnid damage	NCBITaxon:6854	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000360	grape bird damage	NCBITaxon:8782	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
PSO:0000361	grape rodent damage	NCBITaxon:314147	NCBITaxon:29760	PO:0009011			PSO:cooperl	APSNET:Grape	
